STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
NY,City of Binghamton,44876,326,3,40,75,208,"1,893",427,"1,407",59
NY,Total area actually reporting,1,640,7,141,112,380,"4,881",808,"3,909",164
NY,"Rate per 100,000 inhabitants",,270.7,3,59.6,47.4,160.7,"2,064.70",341.8,"1,653.50",69.4
ND,,128877, ,,,,, ,,,
ND,"Includes Burleigh, Morton, and Oliver Counties",,,,,,,,,,
ND,City of Bismarck,74644,223,2,46,24,151,"2,034",254,"1,570",210
ND,Total area actually reporting,1,391,2,70,30,289,"3,063",449,"2,240",374
ND,"Rate per 100,000 inhabitants",,303.4,1.6,54.3,23.3,224.2,"2,376.70",348.4,"1,738.10",290.2
VA,,167435,,,,,,,,,
VA,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
VA,City of Blacksburg,44853,41,0,20,4,17,322,28,285,9
VA,City of Christiansburg,22444,43,0,15,2,26,532,34,485,13
VA,Total area actually reporting,1,335,1,125,25,184,"2,689",329,"2,249",111
VA,"Rate per 100,000 inhabitants",,200.1,0.6,74.7,14.9,109.9,"1,606.00",196.5,"1,343.20",66.3
IL,,171896,,,,,,,,,
IL,Includes McLean County,, ,,,,,,,,
IL,City of Bloomington,78097,339,9,68,37,225,"1,193",196,909,88
IL,Total area actually reporting,1,515,11,123,59,322,"2,436",364,"1,946",126
IL,"Rate per 100,000 inhabitants",,299.6,6.4,71.6,34.3,187.3,"1,417.10",211.8,"1,132.10",73.3
IN,,168926, ,,,,, ,,,
IN,Includes Monroe and Owen Counties,,,,,,,,,,
IN,City of Bloomington,85730,463,2,47,76,338,"2,275",465,"1,678",132
IN,Total area actually reporting,0.88,586,3,85,80,418,"3,399",646,"2,529",224
IN,Estimated total,1,611,4,86,81,440,"3,607",712,"2,660",235
IN,"Rate per 100,000 inhabitants",,361.7,2.4,50.9,47.9,260.5,"2,135.30",421.5,"1,574.70",139.1
PA,,83914, ,,,,, ,,,
PA,Includes Columbia and Montour Counties,,,,,,,,,,
PA,City of Bloomsburg Town,14145,35,0,4,0,31,194,27,161,6
PA,City of Berwick,10030,37,0,8,2,27,181,19,156,6
PA,Total area actually reporting,0.98,156,0,25,3,128,929,118,786,25
PA,Estimated total,1,156,0,25,3,128,953,119,809,25
PA,"Rate per 100,000 inhabitants",,185.9,0,29.8,3.6,152.5,"1,135.70",141.8,964.1,29.8
ID,,730260,,,,,,,,,
ID,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
ID,City of Boise ,229265,635,1,173,51,410,"4,627",638,"3,725",264
ID,Total area actually reporting,1,1782,9,394,103,"1,276","11,455","2,007","8,546",902
ID,"Rate per 100,000 inhabitants",,244,1.2,54,14.1,174.7,"1,568.60",274.8,"1,170.30",123.5
MA,,4879088,,,,,,,,,
MA,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
MA,City of Boston,694673,4324,56,278,"1,172","2,818","14,007","1,853","11,000","1,154"
MA,City of Cambridge,114881,339,0,27,102,210,"2,068",255,"1,704",109
MA,City of Newton,89505,58,0,3,5,50,629,72,540,17
MA,City of Framingham,72510,253,0,21,18,214,820,123,635,62
MA,City of Waltham,62655,117,0,13,11,93,561,90,431,40
MA,Total area actually reporting,0.99,13783,93,"1,433","2,627","9,630","56,555","7,352","44,867","4,336"
MA,Estimated total,1,13878,93,"1,439","2,655","9,691","56,956","7,376","45,203","4,377"
MA,"Rate per 100,000 inhabitants",,284.4,1.9,29.5,54.4,198.6,"1,167.30",151.2,926.5,89.7
MA,,2030758,,,,,,,,,
MA,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
MA,Total area actually reporting,0.98,8165,67,718,"1,752","5,628","28,224","3,608","22,402","2,214"
MA,Estimated total,1,8241,67,724,"1,776","5,674","28,592","3,632","22,710","2,250"
MA,"Rate per 100,000 inhabitants",,405.8,3.3,35.7,87.5,279.4,"1,407.90",178.8,"1,118.30",110.8
MA,,2407742,,,,,,,,,
MA,Includes Essex and Middlesex Counties,,,,,,,,,,
MA,Total area actually reporting,1,5034,18,576,791,"3,649","23,502","3,302","18,319","1,881"
MA,Estimated total,1,5053,18,576,795,"3,664","23,535","3,302","18,347","1,886"
MA,"Rate per 100,000 inhabitants",,209.9,0.7,23.9,33,152.2,977.5,137.1,762,78.3
NH,,440588,,,,,,,,,
NH,Includes Rockingham and Strafford Counties,,,,,,,,,,
NH,Total area actually reporting,1,584,8,139,84,353,"4,829",442,"4,146",241
NH,"Rate per 100,000 inhabitants",,132.6,1.8,31.5,19.1,80.1,"1,096.00",100.3,941,54.7
CO,,326642, ,,,,, ,,,
CO,Includes Boulder County,,,,,,,,,,
CO,City of Boulder,108380,292,0,39,39,214,"3,666",386,"3,035",245
CO,Total area actually reporting,1,882,2,201,95,584,,"1,073",,717
CO,"Rate per 100,000 inhabitants",,270,0.6,61.5,29.1,178.8,,328.5,,219.5
KY,,177116, ,,,,, ,,,
KY,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
KY,City of Bowling Green,68268,208,6,59,64,79,"3,312",414,"2,681",217
KY,Total area actually reporting,1,276,7,80,73,116,"4,190",724,"3,172",294
KY,"Rate per 100,000 inhabitants",,155.8,4,45.2,41.2,65.5,"2,365.70",408.8,"1,790.90",166
CT,,936667,,,,,,,,,
CT,Includes Fairfield County,,,,,,,,,,
CT,City of Bridgeport,146819,945,11,83,325,526,"2,833",588,"1,647",598
CT,City of Stamford,132007,218,3,21,64,130,"2,120",228,"1,655",237
CT,City of Norwalk,89442,252,1,13,49,189,"1,347",147,"1,082",118
CT,City of Danbury,85818,133,0,21,40,72,"1,163",128,926,109
CT,City of Stratford,52472,53,0,6,21,26,"1,080",132,833,115
CT,Total area actually reporting,1,1756,16,178,547,"1,015","12,541","1,633","9,399","1,509"
CT,"Rate per 100,000 inhabitants",,187.5,1.7,19,58.4,108.4,"1,338.90",174.3,"1,003.50",161.1
TX,,424884,,,,,,,,,
TX,Includes Cameron County,, ,,,,,,,,
TX,City of Brownsville2,184461,694,2,12,141,539,"4,834",553,"4,142",139
TX,City of Harlingen2,65525,272,2,49,50,171,"2,792",455,"2,262",75
TX,Total area actually reporting,1,1408,5,172,217,"1,014","10,859","1,697","8,816",346
TX,Estimated total,1,1409,5,172,217,"1,015","10,871","1,700","8,824",347
TX,"Rate per 100,000 inhabitants",,331.6,1.2,40.5,51.1,238.9,"2,558.60",400.1,"2,076.80",81.7
GA,,118723, ,,,,, ,,,
GA,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
GA,City of Brunswick,16431,175,2,4,42,127,862,176,627,59
GA,Total area actually reporting,1,433,7,35,93,298,"3,272",682,"2,367",223
GA,"Rate per 100,000 inhabitants",,364.7,5.9,29.5,78.3,251,"2,756.00",574.4,"1,993.70",187.8
NY,,1115731,,,,,,,,,
NY,Includes Erie and Niagara Counties,,,,,,,,,,
NY,City of Buffalo,258219,2692,57,167,907,"1,561","9,852","2,271","6,707",874
NY,City of Cheektowaga Town,77648,189,0,17,71,101,"2,156",259,"1,810",87
NY,Total area actually reporting,0.98,4132,61,391,"1,278","2,402","23,030","4,012","17,571","1,447"
NY,Estimated total,1,4151,61,393,"1,282","2,415","23,281","4,038","17,788","1,455"
NY,"Rate per 100,000 inhabitants",,372,5.5,35.2,114.9,216.5,"2,086.60",361.9,"1,594.30",130.4
NC,,164044, ,,,,, ,,,
NC,Includes Alamance County3,,,,,,,,,,
NC,City of Burlington3,53385,,4,,61,349,"1,877",481,"1,303",93
NC,Total area actually reporting,0.85,572,4,36,74,458,"3,106",873,"2,088",145
NC,Estimated total,1,661,5,43,91,522,"3,898","1,029","2,683",186
NC,"Rate per 100,000 inhabitants",,402.9,3,26.2,55.5,318.2,"2,376.20",627.3,"1,635.50",113.4
VT,,220420,,,,,,,,,
VT,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,, ,,,
VT,City of Burlington,42212,115,1,22,10,82,837,120,704,13
VT,City of South Burlington,19318,32,1,17,1,13,572,51,520,1
VT,Total area actually reporting,1,384,4,117,26,237,"3,412",493,"2,852",67
VT,"Rate per 100,000 inhabitants",,174.2,1.8,53.1,11.8,107.5,"1,548.00",223.7,"1,293.90",30.4
MD,,112779,,,,,,,,,
MD,Includes St. Mary's County,, ,,,,,,,,
MD,Total area actually reporting,1,250,2,36,57,155,"1,913",446,"1,391",76
MD,"Rate per 100,000 inhabitants",,221.7,1.8,31.9,50.5,137.4,"1,696.20",395.5,"1,233.40",67.4
OH,,399725,,,,,,,,,
OH,Includes Carroll and Stark Counties,, ,,,,,,,,
OH,City of Canton,70605,845,3,98,189,555,"3,790",970,"2,517",303
OH,City of Massillon,32361,75,0,30,17,28,747,118,595,34
OH,Total area actually reporting,0.84,1214,7,199,261,747,"8,444","1,871","6,070",503
OH,Estimated total,1,1267,7,209,282,769,"9,523","2,020","6,928",575
OH,"Rate per 100,000 inhabitants",,317,1.8,52.3,70.5,192.4,"2,382.40",505.3,"1,733.20",143.8
FL,,757462,,,,,,,,,
FL,Includes Lee County,, ,,,,,,,,
FL,City of Cape Coral,187869,267,3,17,51,196,"2,701",413,"2,110",178
FL,City of Fort Myers,82805,582,11,53,146,372,"2,285",376,"1,652",257
FL,Total area actually reporting,1,2126,40,276,454,"1,356","10,803","1,802","7,938","1,063"
FL,"Rate per 100,000 inhabitants",,280.7,5.3,36.4,59.9,179,"1,426.20",237.9,"1,048.00",140.3
"Cape Girardeau, MO-IL M.S.A.",,96774,,,,,,,,,
MO,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
MO,City of Cape Girardeau,39303,192,5,14,52,121,"1,537",250,"1,214",73
MO,Total area actually reporting,0.98,287,8,26,57,196,"2,104",394,"1,594",116
MO,Estimated total,1,290,8,27,57,198,"2,132",399,"1,615",118
MO,"Rate per 100,000 inhabitants",,299.7,8.3,27.9,58.9,204.6,"2,203.10",412.3,"1,668.80",121.9
"Carson City, NV M.S.A.",,54555, ,,,,, ,,,
NV,Includes Carson City,,,,,,,,,,
,Total area actually reporting,1,199,1,43,13,142,785,173,533,79
,"Rate per 100,000 inhabitants",,364.8,1.8,78.8,23.8,260.3,"1,438.90",317.1,977,144.8
"Casper, WY M.S.A.",,79631, ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
WY,City of Casper,58200,117,2,60,4,51,"1,630",327,"1,165",138
,Total area actually reporting,1,176,3,72,4,97,"2,006",427,"1,389",190
,"Rate per 100,000 inhabitants",,221,3.8,90.4,5,121.8,"2,519.10",536.2,"1,744.30",238.6
"Chambersburg-Waynesboro, PA M.S.A.",,154702,,,,,,,,,
,Includes Franklin County,, ,,,,,,,,
PA,City of Chambersburg,20962,60,0,4,13,43,577,73,479,25
PA,City of Waynesboro,10920,13,0,4,3,6,189,27,155,7
,Total area actually reporting,0.97,257,3,62,29,163,"1,876",344,"1,460",72
,Estimated total,1,259,3,62,29,165,"1,916",345,"1,499",72
,"Rate per 100,000 inhabitants",,167.4,1.9,40.1,18.7,106.7,"1,238.50",223,969,46.5
"Champaign-Urbana, IL M.S.A.",,225961,,,,,,,,,
,Includes Champaign and Piatt Counties,, ,,,,,,,,
IL,City of Champaign,88326,602,7,72,83,440,"1,998",276,"1,637",85
IL,City of Urbana,42029,150,2,24,57,67,"1,233",198,"1,012",23
,Total area actually reporting,0.99,958,10,163,160,625,"4,396",738,"3,501",157
,Estimated total,1,960,10,163,160,627,"4,426",744,"3,523",159
,"Rate per 100,000 inhabitants",,424.9,4.4,72.1,70.8,277.5,"1,958.70",329.3,"1,559.10",70.4
"Charleston, WV M.S.A.",,261601, ,,,,, ,,,
,"Includes Boone, Clay, Jackson, Kanawha, and Lincoln Counties",,,,,,,,,,
WV,City of Charleston,47470,331,10,50,48,223,"2,853",660,"1,947",246
,Total area actually reporting,0.79,1052,20,140,68,824,"6,548","1,467","4,372",709
,Estimated total,1,1177,22,152,113,890,"6,983","1,523","4,642",818
,"Rate per 100,000 inhabitants",,449.9,8.4,58.1,43.2,340.2,"2,669.30",582.2,"1,774.50",312.7
"Charleston-North Charleston, SC M.S.A.",,792638, ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
SC,City of Charleston,137092,415,10,57,89,259,"2,848",360,"2,163",325
SC,City of North Charleston,112840,1039,25,77,302,635,"6,567",880,"4,985",702
,Total area actually reporting,0.99,3010,61,277,594,"2,078","20,394","3,018","15,193","2,183"
,Estimated total,1,3045,61,279,599,"2,106","20,650","3,046","15,416","2,188"
,"Rate per 100,000 inhabitants",,384.2,7.7,35.2,75.6,265.7,"2,605.20",384.3,"1,944.90",276
"Charlotte-Concord-Gastonia, NC-SC M.S.A.3",,2597260, ,,,,, ,,,
,"Includes Anson, Cabarrus, Gaston, Iredell, Lincoln, Mecklenburg, Rowan, and Union Counties, NC3 and Chester, Lancaster, and York Counties, SC",,,,,,,,,,
