Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,IL,Illinois,Chicago,3.6,3.4,4,,,
2017,IL,Illinois,Elgin,8.6,8,9.3,,,
2017,IL,Illinois,Chicago,10.7,9.9,11.6,,,
2017,IL,Illinois,Peoria,10.1,9.4,10.9,,,
2017,IL,Illinois,Cicero,12,11.2,12.8,,,
2017,IL,Illinois,Chicago,10.2,9.6,10.8,,,
2017,IL,Illinois,Naperville,7.1,6.6,7.5,,,
2017,IL,Illinois,Joliet,10.4,9.6,11.2,,,
2017,IL,Illinois,Chicago,6.2,5.7,6.8,,,
2017,IL,Illinois,Chicago,20.5,19.3,21.5,,,
2017,IL,Illinois,Chicago,5.7,5.4,6,,,
2017,IL,Illinois,Chicago,16.8,15.5,18,,,
2017,IL,Illinois,Chicago,8.7,7.9,9.4,,,
2017,IL,Illinois,Chicago,8.6,7.9,9.2,,,
2017,IL,Illinois,Chicago,11.5,10.8,12.2,,,
2017,IL,Illinois,Chicago,18.1,16.8,19.4,,,
2017,IL,Illinois,Chicago,11.6,11,12.2,,,
2017,IL,Illinois,Joliet,7.9,7.2,8.6,,,
2017,IL,Illinois,Chicago,9.9,9.3,10.6,,,
2017,IL,Illinois,Chicago,13,12.2,13.9,,,
2017,IL,Illinois,Palatine,7.5,7.3,7.6,,,
2017,IL,Illinois,Chicago,5.6,5.2,6,,,
2017,IL,Illinois,Chicago,10.7,10.2,11.2,,,
2017,IL,Illinois,Chicago,8.9,8.2,9.5,,,
2017,IL,Illinois,Chicago,4,3.8,4.2,,,
2017,IL,Illinois,Chicago,13.8,12.9,14.8,,,
2017,IL,Illinois,Chicago,11.6,10.9,12.3,,,
2017,IL,Illinois,Chicago,19.4,18.3,20.4,,,
2017,IL,Illinois,Chicago,8.6,8,9.1,,,
2017,IL,Illinois,Chicago,23.7,22,25.3,,,
2017,IL,Illinois,Joliet,16.6,15.8,17.4,,,
2017,IL,Illinois,Chicago,13.3,12.7,14,,,
2017,IL,Illinois,Elgin,8.3,7.9,8.8,,,
2017,IL,Illinois,Chicago,16.2,15.2,17.2,,,
2017,IL,Illinois,Joliet,6.1,5.8,6.4,,,
2017,IL,Illinois,Chicago,18.9,17.7,20.1,,,
2017,IL,Illinois,Chicago,10.1,9,11.3,,,
2017,IL,Illinois,Chicago,12.1,11.4,12.9,,,
2017,IL,Illinois,Chicago,4.7,4.4,5,,,
2017,IL,Illinois,Chicago,7.9,7.4,8.3,,,
2017,IL,Illinois,Chicago,11.3,10.8,11.8,,,
2017,IL,Illinois,Chicago,7.2,6.8,7.7,,,
2017,IL,Illinois,Decatur,11,10.3,11.8,,,
2017,IL,Illinois,Chicago,9.7,9.1,10.4,,,
2017,IL,Illinois,Chicago,11.8,11,12.6,,,
2017,IL,Illinois,Palatine,8.2,7.7,8.7,,,
2017,IL,Illinois,Chicago,10.7,10,11.3,,,
2017,IL,Illinois,Chicago,15.6,14.8,16.3,,,
2017,IL,Illinois,Chicago,3.6,3.4,4,,,
2017,IL,Illinois,Evanston,10.4,9.7,11.1,,,
2017,IL,Illinois,Chicago,19.4,18.2,20.5,,,
2017,IL,Illinois,Chicago,9.1,8.6,9.6,,,
2017,IL,Illinois,Chicago,16.5,15.3,17.9,,,
2017,IL,Illinois,Peoria,8.7,8.2,9.3,,,
2017,IL,Illinois,Chicago,17.6,16.1,19.2,,,
